name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Solitude",0,"Creature - Elemental Incarnation",W,"mh2","32",mythic,White,Owned,Non-foil,false,,,"","",90433
"Esper Sentinel",1,"Artifact Creature - Human Soldier",W,"mh2","12",rare,White,Owned,Non-foil,false,,,"","",90393
"Giver of Runes",1,"Creature - Kor Cleric",W,"mh1","13",rare,White,Owned,Non-foil,false,,,"","",72398
"Thraben Inspector",1,"Creature - Human Soldier",W,"2xm","35",common,White,Owned,Non-foil,false,,,"","",82104
"Anafenza, Kin-Tree Spirit",2,"Legendary Creature - Spirit Soldier",W,"dtk","2",rare,White,Owned,Non-foil,false,,,"","",55978
"Ethersworn Canonist",2,"Artifact Creature - Human Cleric",W,"ala","10",rare,White,Owned,Non-foil,false,,,"","",30999
"Ingenious Smith",2,"Creature - Human Artificer",W,"afr","21",uncommon,White,Owned,Non-foil,false,,,"","",91544
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"ddo","16",common,White,Owned,Non-foil,false,,,"","",
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","26",rare,White,Owned,Non-foil,false,,,"","",96962
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"znr","24",rare,White,Owned,Non-foil,false,,,"","",82987
"Oswald Fiddlebender",2,"Legendary Creature - Gnome Artificer",W,"afr","28",rare,White,Owned,Non-foil,false,,,"","",91558
"Phelia, Exuberant Shepherd",2,"Legendary Creature - Dog",W,"mh3","364",rare,White,Owned,Non-foil,false,,,"","",125723
"Porcelain Legionnaire",2,"Artifact Creature - Soldier",W,"nph","19",common,White,Owned,Non-foil,false,,,"","",39834
"Spirited Companion",2,"Enchantment Creature - Dog",W,"neo","38",common,White,Owned,Non-foil,false,,,"","",96990
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"wwk","20",rare,White,Owned,Non-foil,false,,,"","",35737
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"sld","38",rare,White,Owned,Non-foil,false,,,"","",
"Vizier of Remedies",2,"Creature - Human Cleric",W,"akh","38",uncommon,White,Owned,Non-foil,false,,,"","",63678
"Wall of Omens",2,"Creature - Wall",W,"ddk","4",uncommon,White,Owned,Non-foil,false,,,"","",48067
"Whitemane Lion",2,"Creature - Cat",W,"a25","39",common,White,Owned,Non-foil,false,,,"","",66992
"Blade Splicer",3,"Creature - Phyrexian Human Artificer",W,"2xm","9",rare,White,Owned,Non-foil,false,,,"","",82052
"Digsite Engineer",3,"Creature - Dwarf Artificer",W,"c21","15",rare,White,Owned,Non-foil,false,,,"","",89773
"Loran of the Third Path",3,"Legendary Creature - Human Artificer",W,"bro","12",rare,White,Owned,Non-foil,false,,,"","",104642
"Losheel, Clockwork Scholar",3,"Legendary Creature - Elephant Artificer",W,"c21","18",rare,White,Owned,Non-foil,false,,,"","",89779
"Mirror Entity",3,"Creature - Shapeshifter",W,"c13","17",rare,White,Owned,Non-foil,false,,,"","",50848
"Ranger-Captain of Eos",3,"Creature - Human Soldier Ranger",W,"mh1","21",mythic,White,Owned,Non-foil,false,,,"","",72414
"Recruiter of the Guard",3,"Creature - Human Soldier",W,"cn2","22",rare,White,Owned,Non-foil,false,,,"","",
"Skyclave Apparition",3,"Creature - Kor Spirit",W,"znr","39",rare,White,Owned,Non-foil,false,,,"","",83023
"Stonecloaker",3,"Creature - Gargoyle",W,"ddn","53",uncommon,White,Owned,Non-foil,false,,,"","",
"Teshar, Ancestor's Apostle",4,"Legendary Creature - Bird Cleric",W,"dom","36",rare,White,Owned,Non-foil,false,,,"","",67537
"Enlightened Tutor",1,"Instant",W,"ema","9",rare,White,Owned,Non-foil,false,,,"","",60889
"Ephemerate",1,"Instant",W,"mh1","7",common,White,Owned,Non-foil,false,,,"","",72386
"Mana Tithe",1,"Instant",W,"plc","25",common,White,Owned,Non-foil,false,,,"","",26511
"March of Otherworldly Light",1,"Instant",W,"neo","28",rare,White,Owned,Non-foil,false,,,"","",96966
"Path to Exile",1,"Instant",W,"md1","3",uncommon,White,Owned,Non-foil,false,,,"","",
"Swords to Plowshares",1,"Instant",W,"sld","110",rare,White,Owned,Non-foil,false,,,"","",82790
"Brought Back",2,"Instant",W,"m20","9",rare,White,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/792921990129254422/976555998720434216/m20-9-brought-back.jpg","backside_custom","",72917
"Rally the Ancestors",2,"Instant",W,"frf","22",rare,White,Owned,Non-foil,false,,,"","",55618
"Second Sunrise",3,"Instant",W,"mrd","20",rare,White,Owned,Non-foil,false,,"https://pbs.twimg.com/media/FOTzg0XVkAAmmVP?format=jpg&name=4096x4096","backside_custom","",20269
"Faith's Reward",4,"Instant",W,"m13","14",rare,White,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/792921990129254422/976634464555925614/Undo_2.png","backside_custom","",45614
"Oust",1,"Sorcery",W,"roe","40",uncommon,White,Owned,Non-foil,false,,,"","",36682
"Prismatic Ending",1,"Sorcery",W,"mh2","25",uncommon,White,Owned,Non-foil,false,,,"","",90419
"Sevinne's Reclamation",3,"Sorcery",W,"c19","5",rare,White,Owned,Non-foil,false,,,"","",77064
"Mox Pearl",0,"Artifact",,"vma","7",bonus,White,Owned,Non-foil,false,,,"","",52597
"Portable Hole",1,"Artifact",W,"afr","33",uncommon,White,Owned,Non-foil,false,,,"","",91568
"Staff of the Storyteller",2,"Artifact",W,"onc","10",rare,White,Owned,Non-foil,false,,,"","",106883
