name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Cheeky House-Mouse",1,"Creature - Mouse",W,"woe","7",uncommon,White,Owned,,false,,,"","",116304
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,White,Owned,Non-foil,false,,,"180;360","",67493
"Descendant of Storms",1,"Creature - Human Soldier",W,"tdm","8",uncommon,White,Owned,,false,,,"180;360","",138959
"Indebted Spirit",1,"Enchantment Creature - Spirit",W,"mh3","31",uncommon,White,Owned,,false,,,"","",126079
"Law-Rune Enforcer",1,"Creature - Human Soldier",W,"war","20",common,White,Owned,Non-foil,false,,,"360","",71646
"Mardu Devotee",1,"Creature - Human Scout",W,"tdm","16",common,Multicolored,Owned,,false,,,"","",138975
"Miner's Guidewing",1,"Creature - Bird",W,"lci","24",common,White,Owned,,false,,,"","",117826
"Nurturing Pixie",1,"Creature - Faerie Rogue",W,"otj","20",uncommon,White,Owned,,false,,,"","",123951
"Recruitment Officer",1,"Creature - Human Soldier",W,"bro","23",uncommon,White,Owned,Non-foil,false,,,"","",104664
"Thraben Inspector",1,"Creature - Human Soldier",W,"cmm","66",common,White,Owned,Non-foil,false,,,"180;360","",115231
"Accorder Paladin",2,"Creature - Human Knight",W,"mbs","1",uncommon,White,Owned,Non-foil,false,,,"","",39297
"Adanto Vanguard",2,"Creature - Vampire Soldier",W,"xln","1",uncommon,White,Owned,Non-foil,false,,,"180;360","",65012
"Anafenza, Kin-Tree Spirit",2,"Legendary Creature - Spirit Soldier",W,"cmm","11",uncommon,White,Owned,,false,,,"","",115121
"Cathar Commando",2,"Creature - Human Soldier",W,"mid","10",common,White,Owned,Non-foil,false,,,"180;360","",92942
"Fortress Kin-Guard",2,"Creature - Dog Soldier",W,"tdm","12",common,White,Owned,,false,,,"","",138967
"Gary Clone",2,"Creature - Human Citizen",W,"pip","16",uncommon,White,Owned,,false,,,"","",132279
"Glyph Elemental",2,"Enchantment Creature - Elemental",W,"mh3","27",uncommon,White,Owned,,false,,,"","",126071
"Helpful Hunter",2,"Creature - Cat",W,"fdn","16",common,White,Owned,,false,,,"180;360","",133600
"Kor Skyfisher",2,"Creature - Kor Soldier",W,"mm3","11",common,White,Owned,Non-foil,false,,,"180;360","",63193
"Outlaw Medic",2,"Creature - Human Rogue",W,"otj","23",common,White,Owned,,false,,,"","",123957
"Seeker of the Way",2,"Creature - Human Warrior",W,"2x2","28",common,White,Owned,Non-foil,false,,,"","",101540
"Shepherd of the Flock",2,"Creature - Human Peasant",W,"eld","28",uncommon,White,Owned,Non-foil,false,,,"","",78152
"Sun-Blessed Healer",2,"Creature - Human Cleric",W,"fdn","25",uncommon,White,Owned,,false,,,"","",133618
"Sunhome Stalwart",2,"Creature - Human Soldier",W,"j25","266",uncommon,White,Owned,Non-foil,false,,,"180;360","",
"Tax Collector",2,"Creature - Human Advisor",W,"acr","9",uncommon,White,Owned,,false,,,"","",127984
"Wall of Omens",2,"Creature - Wall",W,"tdc","138",uncommon,White,Owned,Non-foil,false,,,"360","",138213
"Archetype of Courage",3,"Enchantment Creature - Human Soldier",W,"bng","4",uncommon,White,Owned,Non-foil,false,,,"","",51757
"Ardenvale Tactician",3,"Creature - Human Knight",W,"eld","5",common,White,Owned,Non-foil,false,,,"","",78096
"Beckoning Will-o'-Wisp",3,"Creature - Spirit",W,"clb","10",uncommon,White,Owned,,false,,,"180;360","",100008
"Combat Thresher",3,"Artifact Creature - Construct",W,"bro","35",uncommon,White,Owned,Non-foil,false,,,"180;360","",104688
"Dalkovan Packbeasts",3,"Creature - Ox",W,"tdm","7",uncommon,White,Owned,,false,,,"","",138957
"Fiend Hunter",3,"Creature - Human Cleric",W,"inr","22",uncommon,White,Owned,Non-foil,false,,,"360","",135402
"Flickerwisp",3,"Creature - Elemental",W,"khc","24",uncommon,White,Owned,Non-foil,false,,,"","",87953
"Inspiring Overseer",3,"Creature - Angel Cleric",W,"snc","18",common,White,Owned,Non-foil,false,,,"180;360","",98255
"Mage's Attendant",3,"Creature - Cat Rogue",W,"snc","21",uncommon,White,Owned,Non-foil,false,,,"360","",98261
"Militia Bugler",3,"Creature - Human Soldier",W,"2x2","19",common,White,Owned,,false,,,"","",101522
"Porcelain Legionnaire",3,"Artifact Creature - Soldier",W,"nph","19",common,White,Owned,Non-foil,false,,,"180;360","",39834
"Prava of the Steel Legion",3,"Legendary Creature - Cat Soldier",W,"cmr","38",uncommon,White,Owned,Non-foil,false,,,"180;360","",84858
"Rosie Cotton of South Lane",3,"Legendary Creature - Halfling Peasant",W,"ltr","27",uncommon,White,Owned,,false,,,"","",111964
"Aerie Auxiliary",4,"Creature - Bird Soldier",W,"mh3","18",common,White,Owned,,false,,,"180;360","",126053
"All-Fates Stalker",4,"Creature - Drix Assassin",W,"eoe","3",uncommon,White,Owned,,false,,,"180;360","",142619
"Glimmerpoint Stag",4,"Creature - Elk",W,"ema","12",uncommon,White,Owned,Non-foil,false,,,"","",60659
"Master Splicer",4,"Creature - Human Artificer",W,"moc","194",uncommon,White,Owned,Non-foil,false,,,"180;360","",110836
"Rhox Veteran",4,"Creature - Rhino Soldier",W,"mh1","24",common,White,Owned,Non-foil,false,,,"","",72420
"Visionary Augmenter",4,"Creature - Dwarf Artificer",W,"kld","34",uncommon,White,Owned,Non-foil,false,,,"360","",61617
"Witch Enchanter",4,"Creature - Human Warlock",W,"mh3","239",uncommon,White,Owned,,false,,,"","",126501
"Cloudgoat Ranger",5,"Creature - Giant Warrior",W,"khc","21",uncommon,White,Owned,Non-foil,false,,,"180;360","",87947
"Elite Scaleguard",5,"Creature - Human Soldier",W,"znc","14",uncommon,White,Owned,Non-foil,false,,,"","",
"Githzerai Monk",5,"Creature - Gith Monk",W,"clb","20",uncommon,White,Owned,,false,,,"","",100032
"Grey Knight Paragon",5,"Creature - Astartes Knight",W,"40k","13",uncommon,White,Owned,,false,,,"","",108498
